time_new,AnkleAngle(deg),moment_newnew
1.02155862,7.84862627,-44.62244637
1.02294267,7.85510167,-44.75379136
1.02432672,7.85617954,-44.88510283
1.025,7.85725894,-44.9489682
1.02520908,7.86268487,-44.96862987
1.02541816,7.88392792,-44.98829078
1.02646358,7.909993,-45.08658387
1.02786166,7.91396386,-45.21800644
1.02925974,7.91621002,-45.34939508
1.03,7.91846261,-45.41894983
1.03019213,7.92983442,-45.4363931
1.03038427,7.9483891,-45.4538357
1.03134493,7.96730079,-45.54103958
1.0327726,7.97816629,-45.67060727
1.03420027,7.98163327,-45.79932649
1.035,7.98511721,-45.87110488
1.03527583,8.00284744,-45.89400518
1.03555165,8.02239653,-45.91690406
1.03693079,8.04244083,-46.03137627
1.03833153,8.04814348,-46.14760408
1.03973227,8.04943621,-46.26379405
1.04,8.05073132,-46.28599798
1.04010447,8.05724582,-46.29308195
1.04020895,8.07219568,-46.30016569
1.04073132,8.07679479,-46.33558195
1.04180118,8.08203036,-46.40810345
1.04211965,8.08511959,-46.429688
1.04231747,8.08845007,-46.44309432
1.04247423,8.08926646,-46.45371779
1.04260625,8.08987879,-46.46266431
1.04267155,8.09001727,-46.46708948
1.04271577,8.09005293,-46.47008555
1.04273762,8.09008858,-46.47156605
1.04274332,8.09026687,-46.47195257
1.04274902,8.091159,-46.4723391
1.04277754,8.09563595,-46.4742716
1.04292014,8.11778125,-46.48393394
1.04363311,8.1261677,-46.53224092
1.045,8.12701644,-46.62483039
1.04505772,8.12786604,-46.62678217
1.04511544,8.13212764,-46.62873391
1.04540404,8.15095429,-46.63849223
1.04659442,8.17030721,-46.67769631
1.04778481,8.19423069,-46.71599675
1.0489752,8.21307113,-46.75428126
1.05,8.21412646,-46.78722755
1.05006901,8.21518297,-46.78927386
1.05013803,8.22048428,-46.79132005
1.0504831,8.23896487,-46.80155046
1.05153718,8.25793238,-46.83279333
1.05259126,8.28538815,-46.86402451
1.05392282,8.30963194,-46.90346059
1.055,8.31137902,-46.93534904
1.0550984,8.31312894,-46.93842404
