Time,AnkleAngle(deg),ActuatorMoment
0.81001975,2.78429204,-0.746844730143383
0.8100395,2.78550854,-0.748997579464914
0.81013826,2.79158946,-0.759761254185113
0.81063203,2.82195645,-0.813565354984633
0.81166633,2.88538411,-0.926190096168648
0.81234802,2.92705004,-1.00036227356226
0.81302971,2.968569,-1.07448908895052
0.8137114,3.00989645,-1.14857054054413
0.81430017,3.04541378,-1.2125172496779
0.81488893,3.08076305,-1.27643012473404
0.815,3.08741298,-1.28848293287261
0.81502308,3.08879437,-1.29148364695854
0.81504617,3.09017552,-1.2944842930046
0.81516159,3.09707757,-1.30948660579362
0.81573868,3.13149376,-1.38447482887152
0.81631577,3.16574834,-1.45942414174418
0.81689287,3.19983001,-1.53433453664729
0.81746996,3.23371615,-1.60920602609229
0.81836571,3.28584968,-1.72534214744946
0.81926145,3.33734074,-1.84138453041395
0.82,3.37930826,-1.93702249027594
0.8200355,3.38131487,-1.94255904051262
0.82007099,3.38332054,-1.94809544727154
0.82024848,3.39333497,-1.97577517164072
0.82105511,3.4385559,-2.10152399588222
0.82186173,3.4832967,-2.2271944206068
0.8231144,3.55175266,-2.42220185292443
0.82436707,3.61883128,-2.61702018583103
0.825,3.65222131,-2.71538405940494
0.82504988,3.65483989,-2.72496145357605
0.82509976,3.65745669,-2.73453847679276
0.82534916,3.670514,-2.78241804547032
0.82659617,3.73514183,-3.02167710217067
0.82792816,3.80291087,-3.27698665624318
0.82926015,3.86919412,-3.53203232003257
0.83,3.90537089,-3.6735816478569
0.83003209,3.90693087,-3.68074229766607
0.83006419,3.90849011,-3.68790275384737
0.83022466,3.9162752,-3.72370240212376
0.83102702,3.95492611,-3.90263368058242
0.83208463,4.0051756,-4.1383152966349
0.8334859,4.07042106,-4.45058801734383
0.83488716,4.13401872,-4.76265946591556
0.835,4.13907273,-4.78777744603312
0.8350674,4.14208709,-4.80408381635725
0.8351348,4.1450982,-4.82038947218082
0.83547179,4.16010571,-4.9019070505115
0.83710015,4.23153682,-5.29554685663008
0.83848702,4.29088159,-5.63047843288857
0.83987388,4.34869515,-5.96510750544183
0.84,4.35387945,-5.9955235305528
0.84005604,4.35617918,-6.00926102497904
0.84011207,4.35847667,-6.02299803595532
0.84039225,4.36993114,-6.09167550584255
0.84179314,4.42642474,-6.43487461899956
0.84319404,4.48160847,-6.77775995443526
0.84459493,4.53530311,-7.12033155315872
0.845,4.55054869,-7.21932789380734
0.84529696,4.56165056,-7.28942545285809
0.84559393,4.57269207,-7.35953585780428
0.84707875,4.62706685,-7.70992525731549
0.84856357,4.68001508,-8.06004352740152
0.85,4.72971473,-8.39849271695983
0.85017044,4.73551474,-8.4361816084904
0.85034088,4.74129561,-8.4738671447194
0.85119306,4.76993252,-8.66224452616425
0.85272831,4.82047328,-9.00139972226063
0.85426355,4.86951158,-9.3402826330368
0.855,4.89246143,-9.50274753761328
0.85545075,4.90633643,-9.59651590815988
0.8559015,4.92009235,-9.69026212092547
0.85750306,4.96809007,-10.0231720775643
0.85961559,5.02908302,-10.4630682145256
0.86,5.03988136,-10.5430965463757
0.86101365,5.06797164,-10.7494567712269
0.8620273,5.09556904,-10.9557326975277
0.86341334,5.13247902,-11.2376526221514
0.86479937,5.16831033,-11.5194149539679
0.865,5.17341199,-11.5601863615193
0.86537827,5.18297929,-11.6391396617091
0.86575654,5.19248297,-11.7180809067104
0.86740828,5.23329786,-12.0626427491414
0.8697599,5.28923942,-12.5528062540012
0.87,5.2948043,-12.6028245732181
0.87046419,5.30550131,-12.7062946784535
0.87092838,5.31612231,-12.8099048298102
0.87260424,5.35387298,-13.1838316713407
0.8742801,5.39053654,-13.5575503930476
0.875,5.4059418,-13.718026398811
0.87559336,5.4185188,-13.8623498788816
0.87618671,5.43100107,-14.0066449315668
0.87768442,5.46209746,-14.3707381003479
